Company Name,Market Capitalization
SATHOSA MOTORS PLC,2437583288.0
ON'ALLY HOLDINGS PLC,2399479644.6
UDAPUSSELLAWA PLANTATIONS PLC,2327862000.0
LANKA REALTY INVESTMENTS PLC,2325074708.0
C M HOLDINGS PLC,2261000000.0
MARAWILA RESORTS PLC,2252309689.6
LANKA ALUMINIUM INDUSTRIES PLC,2247262972.0
SWADESHI INDUSTRIAL WORKS PLC,2239995000.0
RESUS ENERGY PLC,2223568536.6
KAHAWATTE PLANTATIONS PLC,2186947202.0
LANKA VENTURES PLC,2175519963.6
BROWNS BEACH HOTELS PLC,2138400000.0
CHEMANEX PLC,2108706636.0
LANKEM DEVELOPMENTS PLC,2004000000.0
RENUKA FOODS PLC,1980058487.0
LANKA CREDIT AND BUSINESS FINANCE PLC,1975421950.0
MADULSIMA PLANTATIONS PLC,1949262615.5
LAXAPANA PLC,1947013206.6
HAPUGASTENNE PLANTATIONS PLC,1922105243.5
UB FINANCE PLC,1907091220.2
ABANS ELECTRICALS PLC,1867909680.0
C T LAND DEVELOPMENT PLC,1828125000.0
HIKKADUWA BEACH RESORT PLC,1790789652.3
EAST WEST PROPERTIES PLC,1783296000.0
WASKADUWA BEACH RESORT PLC,1779699577.2
ARPICO INSURANCE PLC,1748482744.8
SERENDIB HOTELS PLC,1685317420.8
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,1665330548.0
LUMINEX PLC,1627500000.0
ROYAL PALMS BEACH HOTELS PLC,1600000000.0
COMMERCIAL DEVELOPMENT COMPANY PLC,1572000000.0
E - CHANNELLING PLC,1538855829.0
ASIA SIYAKA COMMODITIES LIMITED,1508000000.0
PEGASUS HOTELS OF CEYLON PLC,1460482262.0
COLOMBO CITY HOLDINGS PLC,1430691268.0
HNB FINANCE PLC,1405267500.0
AMANA TAKAFUL LIFE PLC,1400000000.0
NATION LANKA FINANCE PLC,1399354807.0
CARGO BOAT DEVELOPMENT COMPANY PLC,1357809223.5
TANGERINE BEACH HOTELS PLC,1352000000.0
HOTEL SIGIRIYA PLC,1346398200.0
THE AUTODROME PLC,1320000000.0
KAPRUKA HOLDINGS PLC,1263803772.0
EQUITY TWO PLC,1240000000.0
SINGHE HOSPITALS PLC,1207642506.0
GALLE FACE CAPITAL PARTNERS PLC,1196250474.6
MAHAWELI COCONUT PLANTATIONS PLC,1189867910.0
LOTUS HYDRO POWER PLC,1189060420.8
TEA SMALLHOLDER FACTORIES PLC,1179000000.0
UNION CHEMICALS LANKA PLC,1155375000.0
INDUSTRIAL ASPHALTS (CEYLON) PLC,1124823375.0
HAYLEYS FIBRE PLC,1104000000.0
CEYLON TEA BROKERS PLC,1076160000.0
CEYLON HOSPITALS PLC,1053911560.0
HORANA PLANTATIONS PLC,1035000000.0
LAUGFS GAS PLC,1003600000.0
BANSEI ROYAL RESORTS HIKKADUWA PLC,934867200.0
SMB FINANCE PLC,924481113.6
COLOMBO FORT INVESTMENTS PLC,905065223.0
MAHAWELI REACH HOTELS PLC,898969137.7
COLOMBO INVESTMENT TRUST PLC,872881800.0
HVA FOODS PLC,831389039.2
EASTERN MERCHANTS PLC,822122000.0
MAHARAJA FOODS PLC,812500000.0
LANKA CERAMIC PLC,792000000.0
SIGIRIYA VILLAGE HOTELS PLC,765000000.0
VIDULLANKA PLC,755444890.0
LAKE HOUSE PRINTERS & PUBLISHERS PLC,734311250.0
TESS AGRO PLC,677063049.0
SAMSON INTERNATIONAL PLC,671952396.25
MALWATTE VALLEY PLANTATION PLC,648021120.0
SERENDIB LAND PLC,588984709.0
MERCANTILE SHIPPING COMPANY PLC,567575505.0
RAMBODA FALLS PLC,542000000.0
ASIA CAPITAL PLC,512186980.5
MILLENNIUM HOUSING DEVELOPERS PLC,457916488.0
AMW CAPITAL LEASING AND FINANCE PLC,448000000.0
LAUGFS POWER PLC,436800000.0
ACME PRINTING & PACKAGING PLC,380000000.0
RENUKA HOLDINGS PLC,333983722.2
GESTETNER OF CEYLON PLC,327575329.0
E M L CONSULTANTS PLC,318150000.0
